,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
3518,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,oratorio adaptation of work|is oratorio adaptation of work,,,,http://rdaregistry.info/Elements/w/P10288,is oratorio adaptation of work,,,,,
3519,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as oratorio work|is adapted as oratorio work,,,,http://rdaregistry.info/Elements/w/P10289,is adapted as oratorio work,,,,,
3520,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,inspired by|is inspired by,,,,http://rdaregistry.info/Elements/w/P10290,is inspired by,,,,,
3521,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,inspiration for|is inspiration for,,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
3522,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,commemoration|has commemoration,,,,http://rdaregistry.info/Elements/w/P10294,has commemoration,,,,,
3523,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,commemoration of|is commemoration of,,,,http://rdaregistry.info/Elements/w/P10295,is commemoration of,,,,,
3524,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation|has transformation,,,,http://rdaregistry.info/Elements/w/P10336,has transformation,,,,,
3525,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation of|is transformation of,,,,http://rdaregistry.info/Elements/w/P10337,is transformation of,,,,,
3526,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by style|has transformation by style,,,,http://rdaregistry.info/Elements/w/P10340,has transformation by style,,,,,
3527,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by style of|is transformation by style of,,,,http://rdaregistry.info/Elements/w/P10341,is transformation by style of,,,,,
3528,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by genre|has transformation by genre,,,,http://rdaregistry.info/Elements/w/P10342,has transformation by genre,,,,,
3529,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by genre of|is transformation by genre of,,,,http://rdaregistry.info/Elements/w/P10343,is transformation by genre of,,,,,
3530,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by policy|has transformation by policy,,,,http://rdaregistry.info/Elements/w/P10344,has transformation by policy,,,,,
3531,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by policy of|is transformation by policy of,,,,http://rdaregistry.info/Elements/w/P10345,is transformation by policy of,,,,,
3532,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,lyrics for work|is lyrics for work,,,,http://rdaregistry.info/Elements/w/P10369,is lyrics for work,,,,,
3533,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,lyrics work|has lyrics work,,,,http://rdaregistry.info/Elements/w/P10370,has lyrics work,,,,,
3534,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,text work|has text work,,,,http://rdaregistry.info/Elements/w/P10371,has text work,,,,,
3535,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,text for work|is text for work,,,,http://rdaregistry.info/Elements/w/P10372,is text for work,,,,,
3536,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,spoken word work|has spoken word work,,,,http://rdaregistry.info/Elements/w/P10373,has spoken word work,,,,,
3537,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,sounds work|has sounds work,,,,http://rdaregistry.info/Elements/w/P10374,has sounds work,,,,,
3538,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,spoken word for work|is spoken word for work,,,,http://rdaregistry.info/Elements/w/P10375,is spoken word for work,,,,,
3539,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,sounds for work|is sounds for work,,,,http://rdaregistry.info/Elements/w/P10376,is sounds for work,,,,,
3540,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by extension plan|has transformation by extension plan,,,,http://rdaregistry.info/Elements/w/P10377,has transformation by extension plan,,,,,
3541,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by extension plan of|is transformation by extension plan of,,,,http://rdaregistry.info/Elements/w/P10378,is transformation by extension plan of,,,,,
3542,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,sequential version|has sequential version,,,,http://rdaregistry.info/Elements/w/P10379,has sequential version,,,,,
3543,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,sequential version of|is sequential version of,,,,http://rdaregistry.info/Elements/w/P10380,is sequential version of,,,,,
3544,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,serialized version|has serialized version,,,,http://rdaregistry.info/Elements/w/P10381,has serialized version,,,,,
3545,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,static version|has static version,,,,http://rdaregistry.info/Elements/w/P10382,has static version,,,,,
3546,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by audience|has transformation by audience,,,,http://rdaregistry.info/Elements/w/P10383,has transformation by audience,,,,,
3547,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by audience o|is transformation by audience o,,,,http://rdaregistry.info/Elements/w/P10384,is transformation by audience o,,,,,
3548,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,language version|has language version,,,,http://rdaregistry.info/Elements/w/P10385,has language version,,,,,
3549,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,regional version|has regional version,,,,http://rdaregistry.info/Elements/w/P10386,has regional version,,,,,
3550,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,carrier version|has carrier version,,,,http://rdaregistry.info/Elements/w/P10387,has carrier version,,,,,
3551,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,language version of|is language version of,,,,http://rdaregistry.info/Elements/w/P10388,is language version of,,,,,
3552,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,regional version of|is regional version of,,,,http://rdaregistry.info/Elements/w/P10389,is regional version of,,,,,
3553,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,carrier version of|is carrier version of,,,,http://rdaregistry.info/Elements/w/P10390,is carrier version of,,,,,
3554,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,serialized version of|is serialized version of,,,,http://rdaregistry.info/Elements/w/P10391,is serialized version of,,,,,
3555,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,static version of|is static version of,,,,http://rdaregistry.info/Elements/w/P10392,is static version of,,,,,
3556,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,special issue|has special issue,,,,http://rdaregistry.info/Elements/w/P10410,has special issue,,,,,
3557,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,special issue of|is special issue of,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,
3558,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,video screenplay work|has video screenplay work,,,,http://rdaregistry.info/Elements/w/P10164,has video screenplay work,,,,,
3559,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,transformation by audience of|is transformation by audience of,,,,http://rdaregistry.info/Elements/w/P10384,is transformation by audience of,,,,,
3560,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,identifier for expression|has identifier for expression,,,,http://rdaregistry.info/Elements/e/P20002,has identifier for expression,,,,,
3561,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as radio program expression|is adapted as radio program expression,,,,http://rdaregistry.info/Elements/e/P20060,is adapted as radio program expression,,,,,
3562,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as television program expression|is adapted as television program expression,,,,http://rdaregistry.info/Elements/e/P20066,is adapted as television program expression,,,,,
3563,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as video expression|is adapted as video expression,,,,http://rdaregistry.info/Elements/e/P20067,is adapted as video expression,,,,,
3564,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,dramatized as expression|is dramatized as expression,,,,http://rdaregistry.info/Elements/e/P20073,is dramatized as expression,,,,,
3565,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,part of expression|is part of expression,,,,http://rdaregistry.info/Elements/e/P20074,is part of expression,,,,,
3566,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted in verse as expression|is adapted in verse as expression,,,,http://rdaregistry.info/Elements/e/P20077,is adapted in verse as expression,,,,,
3567,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,dubbed version of|is dubbed version of,,,,http://rdaregistry.info/Elements/e/P20078,is dubbed version of,,,,,
3568,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,dubbed version|has dubbed version,,,,http://rdaregistry.info/Elements/e/P20079,has dubbed version,,,,,
3569,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,cadenza expression|has cadenza expression,,,,http://rdaregistry.info/Elements/e/P20080,has cadenza expression,,,,,
3570,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,variations based on expression|is variations based on expression,,,,http://rdaregistry.info/Elements/e/P20081,is variations based on expression,,,,,
3571,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,modified by variation as expression|is modified by variation as expression,,,,http://rdaregistry.info/Elements/e/P20082,is modified by variation as expression,,,,,
3572,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,cadenza composed for expression|is cadenza composed for expression,,,,http://rdaregistry.info/Elements/e/P20083,is cadenza composed for expression,,,,,
3573,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,libretto for expression|is libretto for expression,,,,http://rdaregistry.info/Elements/e/P20084,is libretto for expression,,,,,
3574,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,incidental music expression|has incidental music expression,,,,http://rdaregistry.info/Elements/e/P20085,has incidental music expression,,,,,
3575,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,remade as expression|is remade as expression,,,,http://rdaregistry.info/Elements/e/P20086,is remade as expression,,,,,
3576,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,set to music as expression|is set to music as expression,,,,http://rdaregistry.info/Elements/e/P20087,is set to music as expression,,,,,
3577,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as novel expression|is adapted as novel expression,,,,http://rdaregistry.info/Elements/e/P20088,is adapted as novel expression,,,,,
3578,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,appendix to expression|is appendix to expression,,,,http://rdaregistry.info/Elements/e/P20089,is appendix to expression,,,,,
3579,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abstracted in expression|is abstracted in expression,,,,http://rdaregistry.info/Elements/e/P20090,is abstracted in expression,,,,,
3580,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,indexed in expression|is indexed in expression,,,,http://rdaregistry.info/Elements/e/P20091,is indexed in expression,,,,,
3581,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as choreography expression|is adapted as choreography expression,,,,http://rdaregistry.info/Elements/e/P20092,is adapted as choreography expression,,,,,
3582,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,errata expression|has errata expression,,,,http://rdaregistry.info/Elements/e/P20093,has errata expression,,,,,
3583,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,illustrations expression|has illustrations expression,,,,http://rdaregistry.info/Elements/e/P20094,has illustrations expression,,,,,
3584,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as motion picture screenplay expression|is adapted as motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20095,is adapted as motion picture screenplay expression,,,,,
3585,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as screenplay expression|is adapted as screenplay expression,,,,http://rdaregistry.info/Elements/e/P20096,is adapted as screenplay expression,,,,,
3586,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as television screenplay expression|is adapted as television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20097,is adapted as television screenplay expression,,,,,
3587,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as video screenplay expression|is adapted as video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20098,is adapted as video screenplay expression,,,,,
3588,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as radio script expression|is adapted as radio script expression,,,,http://rdaregistry.info/Elements/e/P20099,is adapted as radio script expression,,,,,
3589,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,complemented by expression|is complemented by expression,,,,http://rdaregistry.info/Elements/e/P20100,is complemented by expression,,,,,
3590,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay for expression|is screenplay for expression,,,,http://rdaregistry.info/Elements/e/P20102,is screenplay for expression,,,,,
3591,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,incidental music for expression|is incidental music for expression,,,,http://rdaregistry.info/Elements/e/P20103,is incidental music for expression,,,,,
3592,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abstracted as expression|is abstracted as expression,,,,http://rdaregistry.info/Elements/e/P20104,is abstracted as expression,,,,,
3593,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,augmented by expression|is augmented by expression,,,,http://rdaregistry.info/Elements/e/P20105,is augmented by expression,,,,,
3594,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,summarized as expression|is summarized as expression,,,,http://rdaregistry.info/Elements/e/P20106,is summarized as expression,,,,,
3595,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,catalogue expression|has catalogue expression,,,,http://rdaregistry.info/Elements/e/P20107,has catalogue expression,,,,,
3596,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,concordance expression|has concordance expression,,,,http://rdaregistry.info/Elements/e/P20108,has concordance expression,,,,,
3597,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,addenda expression|has addenda expression,,,,http://rdaregistry.info/Elements/e/P20109,has addenda expression,,,,,
3598,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as libretto expression|is adapted as libretto expression,,,,http://rdaregistry.info/Elements/e/P20110,is adapted as libretto expression,,,,,
3599,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,imitated as expression|is imitated as expression,,,,http://rdaregistry.info/Elements/e/P20114,is imitated as expression,,,,,
3600,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,expanded as expression|is expanded as expression,,,,http://rdaregistry.info/Elements/e/P20115,is expanded as expression,,,,,
3601,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,appendix expression|has appendix expression,,,,http://rdaregistry.info/Elements/e/P20118,has appendix expression,,,,,
3602,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,freely translated as expression|is freely translated as expression,,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
3603,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,guide expression|has guide expression,,,,http://rdaregistry.info/Elements/e/P20120,has guide expression,,,,,
3604,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abridgement of expression|is abridgement of expression,,,,http://rdaregistry.info/Elements/e/P20121,is abridgement of expression,,,,,
3605,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,abstract of expression|is abstract of expression,,,,http://rdaregistry.info/Elements/e/P20122,is abstract of expression,,,,,
3606,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,dramatization of expression|is dramatization of expression,,,,http://rdaregistry.info/Elements/e/P20123,is dramatization of expression,,,,,
3607,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,verse adaptation of expression|is verse adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20124,is verse adaptation of expression,,,,,
3608,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,motion picture adaptation of expression|is motion picture adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20125,is motion picture adaptation of expression,,,,,
3609,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,novelization of expression|is novelization of expression,,,,http://rdaregistry.info/Elements/e/P20126,is novelization of expression,,,,,
3610,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,radio adaptation of expression|is radio adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20127,is radio adaptation of expression,,,,,
3611,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,television adaptation of expression|is television adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20128,is television adaptation of expression,,,,,
3612,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,screenplay based on expression|is screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20129,is screenplay based on expression,,,,,
3613,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,motion picture screenplay based on expression|is motion picture screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20130,is motion picture screenplay based on expression,,,,,
3614,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,television screenplay based on expression|is television screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20131,is television screenplay based on expression,,,,,
3615,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,video screenplay based on expression|is video screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20132,is video screenplay based on expression,,,,,
3616,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,radio script based on expression|is radio script based on expression,,,,http://rdaregistry.info/Elements/e/P20133,is radio script based on expression,,,,,
3617,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,video adaptation of expression|is video adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20134,is video adaptation of expression,,,,,
3618,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,digest of expression|is digest of expression,,,,http://rdaregistry.info/Elements/e/P20135,is digest of expression,,,,,
3619,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,arrangement of|is arrangement of,,,,http://rdaregistry.info/Elements/e/P20139,is arrangement of,,,,,
3620,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,free translation of expression|is free translation of expression,,,,http://rdaregistry.info/Elements/e/P20140,is free translation of expression,,,,,
3621,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,translation of|is translation of,,,,http://rdaregistry.info/Elements/e/P20141,is translation of,,,,,
3622,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,parodied as expression|is parodied as expression,,,,http://rdaregistry.info/Elements/e/P20142,is parodied as expression,,,,,
3623,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,part expression|has part expression,,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
3624,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,errata to expression|is errata to expression,,,,http://rdaregistry.info/Elements/e/P20146,is errata to expression,,,,,
3625,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,guide to expression|is guide to expression,,,,http://rdaregistry.info/Elements/e/P20147,is guide to expression,,,,,
3626,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,illustrations for expression|is illustrations for expression,,,,http://rdaregistry.info/Elements/e/P20148,is illustrations for expression,,,,,
3627,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,supplement to expression|is supplement to expression,,,,http://rdaregistry.info/Elements/e/P20151,is supplement to expression,,,,,
3628,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adaptation of expression|is adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20152,is adaptation of expression,,,,,
3629,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,1,Real World Object URI (R),,,,adapted as expression|is adapted as expression,,,,http://rdaregistry.info/Elements/e/P20153,is adapted as expression,,,,,
